Deviation,Position,Temperature
0.1,1,308.0481548555343
0.1,2,308.16227752083245
0.1,3,308.3754955935155
0.1,4,308.6271926203457
0.1,5,308.75164212616176
0.1,6,308.93285198820035
0.1,7,309.29652257563447
0.1,8,309.47112942109663
0.1,9,309.6895727601977
0.1,10,309.9299665126449
0.1,11,310.09272627490606
0.1,12,309.95601310814226
0.1,13,309.79734472066593
0.1,14,309.6677729528456
0.1,15,309.45494345094824
0.1,16,309.02048201604083
0.1,17,308.85967838822506
0.1,18,308.4341813794461
0.1,19,308.40147975071864
0.1,20,308.3919564473513
0.5,1,308.1578193187633
0.5,2,308.4559286350658
0.5,3,308.821039488536
0.5,4,309.0941827119941
0.5,5,308.58511390379533
0.5,6,308.33384490821214
0.5,7,309.0695743866239
0.5,8,309.0164380216839
0.5,9,309.40212819132057
0.5,10,310.16213665676855
0.5,11,310.82540801379326
0.5,12,310.2916868335008
0.5,13,309.939616328678
0.5,14,309.99758304515865
0.5,15,309.8588870481488
0.5,16,308.7684602013966
0.5,17,309.1209874419055
0.5,18,308.12401192195165
0.5,19,308.94501810789103
0.5,20,309.5977119711914
1.0,1,308.29489989779955
1.0,2,308.8229925278575
1.0,3,309.3779693573116
1.0,4,309.6779203265546
1.0,5,308.3769536258373
1.0,6,307.58508605822686
1.0,7,308.7858891503607
1.0,8,308.44807377241796
1.0,9,309.0428224802242
1.0,10,310.45234933692313
1.0,11,311.7412601874023
1.0,12,310.711278990199
1.0,13,310.11745583869316
1.0,14,310.40984566055
1.0,15,310.3638165446496
1.0,16,308.45343293309134
1.0,17,309.4476237590061
1.0,18,307.73630010008355
1.0,19,309.6244410543565
1.0,20,311.1049063759917
5.0,1,309.3915445300895
5.0,2,311.75950367019107
5.0,3,313.8334083075165
5.0,4,314.3478212430387
5.0,5,306.7116714021731
5.0,6,301.5950152583446
5.0,7,306.5164072602551
5.0,8,303.9011597782905
5.0,9,306.16837679145294
5.0,10,312.77405077815945
5.0,11,319.0680775762745
5.0,12,314.06801624378437
5.0,13,311.5401719188141
5.0,14,313.7079465836804
5.0,15,314.4032525166555
5.0,16,305.93321478664916
5.0,17,312.06071429581056
5.0,18,304.63460552513874
5.0,19,315.05982462608034
5.0,20,323.1624616143934
10.0,1,310.7623503204519
10.0,2,315.4301425981081
10.0,3,319.4027069952726
10.0,4,320.18519738864376
10.0,5,304.6300686225929
10.0,6,294.1074267584917
10.0,7,303.6795548976232
10.0,8,298.2175172856311
10.0,9,302.575319680489
10.0,10,315.6761775797049
10.0,11,328.2265993123648
10.0,12,318.26393781076615
10.0,13,313.3185670189653
10.0,14,317.83057273759334
10.0,15,319.45254748166303
10.0,16,302.7829421035964
10.0,17,315.3270774668162
10.0,18,300.75748730645773
10.0,19,321.85405409073513
10.0,20,338.2344056623956
50.0,1,321.7287966433513
50.0,2,344.795254021444
50.0,3,363.9570964973216
50.0,4,366.88420655348443
50.0,5,287.97724638595093
50.0,6,234.20671875966895
50.0,7,280.98473599656745
50.0,8,252.74837734435647
50.0,9,273.83086279277694
50.0,10,338.8931919920684
50.0,11,401.49477320108707
50.0,12,351.83131034662006
50.0,13,327.5457278201751
50.0,14,350.81158196889737
50.0,15,359.8469072017228
50.0,16,277.5807606391745
50.0,17,341.4579828348611
50.0,18,269.74054155700964
50.0,19,376.20788980797334
50.0,20,458.80995804641327
100.0,1,335.43685454697555
100.0,2,381.501643300614
100.0,3,419.65008337488285
100.0,4,425.2579680095352
100.0,5,267.16121859014845
100.0,6,159.33083376114047
100.0,7,252.61621237024775
100.0,8,195.9119524177631
100.0,9,237.90029168313694
100.0,10,367.9144600075228
100.0,11,493.0799905619899
100.0,12,393.79052601643747
100.0,13,345.32967882168737
100.0,14,392.03784350802744
100.0,15,410.3398568517975
100.0,16,246.0780338086472
100.0,17,374.12161454491724
100.0,18,230.96935937019953
100.0,19,444.1501844545211
100.0,20,609.5293985264353
250.0,1,376.56102825784836
250.0,2,491.6208111381237
250.0,3,586.7290440075667
250.0,4,600.3792523776876
250.0,5,204.71313520274117
250.0,6,-65.29682123444496
250.0,7,167.51064149128874
250.0,8,25.40267763798306
250.0,9,130.1085783542169
250.0,10,454.978264053886
250.0,11,767.8356426446985
250.0,12,519.6681730258897
250.0,13,398.68153182622405
250.0,14,515.7166281254175
250.0,15,561.8187058020216
250.0,16,151.5698533170652
250.0,17,472.1125096750857
250.0,18,114.65581280976926
250.0,19,647.9770683941645
250.0,20,1061.6877199665014
