Lambda,Deviation,Position,parameters
0,0.1,1,103.64013249356708
0,0.1,2,-16.942379845103762
0,0.1,3,0.4593391886141773
0,0.1,4,29.377221013265636
0,0.1,5,22.9403423825677
0,0.1,6,112.70289468810594
0,0.1,7,29.68208611618292
0,0.1,8,34.92383806159169
0,0.1,9,-14.831155909633765
0,0.1,10,-20.15283451375218
0,0.1,11,30.213599377094194
0,0.1,12,19.30561408024038
0,0.1,13,2.7386046781566185
0,0.1,14,106.50749289639897
0,0.1,15,27.062205294939595
0,0.1,16,-4.214114803260057
0,0.1,17,-6.9447178507341025
